user_id,onboarding_month,disabled_month,platform,acquisition_source,gender,uk_region,gross_income,age,first_subscription_plan_month,first_subscription_plan_cancelled_month,first_funds_buy_order_initiated_month,first_sipp_initiated_month,subscription_plan,is_investor_funds,is_investor_sipp,has_interest_pocket,revenue,revenue_1_m,revenue_3_m,revenue_6_m,revenue_12_m,cpa
5e57c9a1-a644-45a9-8896-80dfda5151b5,2021-05-01,,ios,Facebook,M,South West,52826,24,2021-05-01,,2021-05-01,,Plus,TRUE,FALSE,FALSE,15.02,0.02,2.14,5.6,12.68,18.89
ad936a37-e0ea-47ca-a3d3-35b6b960bbee,2021-11-01,,android,Referral,F,West Midlands,45668,25,2022-01-01,2022-01-01,,,Basic,FALSE,FALSE,TRUE,0.51,0,0,0.46,0.51,5.52
88192924-fa9f-4039-9a17-d36e209f2114,2021-01-01,,ios,TikTok,F,North East,38011,34,2022-01-01,,2022-01-01,,Plus,TRUE,FALSE,TRUE,6.12,0,0,0.02,0.11,11.83
4501f6ec-83c5-4c6c-a409-3becb2ea4c02,2021-07-01,,ios,Referral,M,Wales,40682,28,2021-08-01,,2021-08-01,,Plus,TRUE,FALSE,FALSE,11.01,0,1,4.01,10.01,9.58
fbb1fbb5-61ac-4a9d-8cb9-4b23ec343622,2021-02-01,,ios,Google,M,West Midlands,89860,52,2021-02-01,2021-04-01,2021-02-01,,Ultra,TRUE,FALSE,TRUE,81,0.02,6.05,21.03,51.05,8.1
b387ae57-cab4-484e-8a48-757649eec234,2021-09-01,,ios,Google,M,North West,34241,21,2021-09-01,2021-10-01,2021-09-01,,Ultra,FALSE,FALSE,TRUE,12.98,0,0,2,12.98,8.86
60379070-4b2c-4acb-8dd1-d54b84092fb6,2021-09-01,,ios,Google,F,East of England,57966,37,2021-09-01,,2021-12-01,,Pro,TRUE,FALSE,TRUE,29.97,0,6,15.01,29.97,6.62
685efd1f-d477-4b05-a8cf-e94907c1d1c2,2021-07-01,2021-12-01,ios,Facebook,F,North East,42806,33,2021-08-01,2021-12-01,,,Basic,FALSE,FALSE,TRUE,11.97,0,5.98,11.97,11.97,15.49
01d5a126-b31e-4775-9f48-60f45f5234bf,2021-06-01,,ios,Referral,F,South East,95454,44,2021-06-01,,2021-07-01,,Ultra,TRUE,FALSE,TRUE,59.89,0,9.98,24.95,49.91,6.93
50ed9816-db77-4c99-baa2-f50e1a29b200,2021-01-01,,android,Google,M,South East,49347,33,2021-03-01,2021-05-01,2021-03-01,,Basic,FALSE,FALSE,FALSE,1.02,0,0.02,1.02,1.02,7.1
ec9f68a3-30c7-4bb7-b1a8-252a74e11f6a,2021-02-01,,ios,Google,M,East Midlands,65995,38,2021-02-01,,2021-02-01,,Plus,FALSE,FALSE,TRUE,17.04,0,2.01,5.04,11.04,6.6
cc86e416-66f1-4bc9-a832-8dcd1505ce71,2021-11-01,,android,Google,M,North East,32635,29,,,,,Basic,FALSE,FALSE,TRUE,0.07,0,0.03,0.07,0.07,5.5
